video_id,title,view_count,like_count,comment_count,published_at
rqh2N1g1gDU,90s Love Songs | 90s Evergreen Songs | 90s Hits Hindi Songs | 90s Purane Gane | Old Songs Jukebox,898098,3158,34,2026-02-18T11:01:27Z
QJ_XRuudplE,Billie Eilish's Hardest Song To Sing,38168854,848279,20817,2025-10-13T18:30:34Z
mWEr1Ait5Xw,Dhanda Nyoliwala - Paradox (Official Music Video),1531045,116981,6914,2026-02-19T11:45:06Z
x9RC77Oc-0Q,5-7 (Music Video) Karan Aujla | Mxrci | Alankriitaa Sahai | Rehaan Records | Punjabi Songs 2026,13603495,282420,12885,2026-02-18T10:13:59Z
Qe8fa4b5xNU,화사 (HWASA) - 'Good Goodbye' MV,114389652,991556,27992,2025-10-15T09:00:00Z
Otpb-A2AGxI,2026 New Sinhala Nonstop | Best Hit Trending Songs | Bass Boosted Collection | New Sindu Sinhala,13986,114,13,2026-02-20T11:00:43Z
9pC-G6S2KA0,potti खा लिया 😱 #song #hindisong #music #love #cover #permodpremi #musiclove #funny,2308027,10668,94,2025-08-11T12:42:36Z
GX9x62kFsVU,"Gehra Hua | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Arijit Singh, Irshad Kamil",142697001,968350,26909,2025-11-28T13:39:01Z
70AWIFL7LMQ,Jaloliddin Ahmadaliyev - Yolg’on dunyo (Official Music Video),5304,2372,442,2026-02-21T14:00:09Z
7AJt1O45H8I,Love songs❤🎵 #music #arrahman #love #song #tamilsong #lovestatus #newsong#album #subscribe #trending,8824252,0,681,2025-04-27T04:07:55Z
